COUNTRY,TIME,REN.ELECTRICITY.OUTPUT,RE.CONSUMPTION,TOTAL.ELECTRICITY.OUTPUT,TOTAL.FINAL.ENERGY.CONSUM,PRIMARY.ENERGY.INTENSITY
Argentina,1990,17983,105714.2,50740,1184750.602776,5.4390966150615
Argentina,1991,16321,106435.7,53623,1216660.466448,4.97639131756251
Argentina,1992,19486,120302.7,55881,1270134.610992,4.67515678215628
Argentina,1993,23974,137451.3,61576,1357095.703032,4.42726697484486
Argentina,1994,27481,162457.7,64507,1513358.84394,4.44994520448956
Argentina,1995,26949,173807.4,67015,1551133.744524,4.64626030192915
Argentina,1996,23275,164464,69686,1613364.036984,4.56540438200189
Argentina,1997,28476,188499.1,72298,1713772.544472,4.35809556241409
Argentina,1998,26933,202663.7,74012,1786683.740544,4.34004774245514
Argentina,1999,21963,184367,80467,1788898.683348,4.56906827299307
Argentina,2000,29482,199198.9,88910,1798155.86562,4.66000419810886
Argentina,2001,37695,226780.3,90115,1739062.993608,4.63730638645308
Argentina,2002,36791,220577.3,84453,1659976.39314,5.05808673345645
Argentina,2003,34927,222456.7,92030,1777076.332452,4.97266769429361
Argentina,2004,31687,156487.3,100165,1874538.1701,4.98235701768587
Argentina,2005,35366,172818.7,105491,1929296.531808,4.6031075504488
Argentina,2006,39678,210394.8,106869,2065155.889068,4.63074898615192
Argentina,2007,32055,186410.3,107415,2097408.44232,4.30281027914211
Argentina,2008,32035,167685.9,121604,2203584.685488,4.35285195831845
Argentina,2009,35268,179429.3,121919,2092699.087812,4.5033185148229
Argentina,2010,35807,195456.7,125263,2181084.403608,4.2511819557134
Argentina,2011,41854,227695.1,129555,2250652.85856,4.10057606014049
Argentina,2012,39686,225138,135627,2281795.95168,4.15885335147252
Argentina,2013,43788,232691.4,139171,2278981.79406,4.17514182389459
Argentina,2014,43620,254377,141260,2333314.818756,4.34415636771924
Argentina,2015,40791,239470.6,144957,2385146.90034,4.34010162122093
